date,content_type,topic,caption,followers,reach,impressions,likes,comments,shares,saves,profile_visits,website_taps,plays
2026-04-01T09:00:00,reel,education,"3 mistakes that keep your content from getting saved",12400,18800,29100,960,72,188,420,230,38,25500
2026-04-03T12:00:00,carousel,education,"A 7-slide checklist for planning a launch week",12480,12100,17600,710,64,96,510,180,44,
2026-04-05T18:00:00,single_image,community,"Behind the scenes from today's shoot",12520,6400,8100,390,31,22,78,96,11,
2026-04-07T10:00:00,reel,case_study,"How one post turned into 41 email signups",12570,16400,23800,840,88,146,260,310,71,21400
2026-04-09T21:00:00,reel,opinion,"Stop optimizing for likes when saves tell the real story",12610,22100,34000,1180,132,310,390,280,52,29600
2026-04-11T08:00:00,carousel,product,"Feature breakdown: what changed in the new template",12690,9700,14300,510,42,54,300,150,66,
2026-04-13T17:00:00,reel,community,"A founder note on building in public",12740,8300,11900,530,59,70,140,170,19,10400
2026-04-15T11:00:00,carousel,case_study,"Swipe through the exact content audit framework",12820,15100,22100,820,77,128,610,250,82,
2026-04-17T14:00:00,single_image,product,"Template preview for next week's content sprint",12880,7200,9600,430,28,31,120,130,37,
2026-04-19T19:00:00,reel,education,"The fastest way to turn comments into new post ideas",12930,20400,31800,1090,118,244,470,340,59,28100
2026-04-21T09:00:00,carousel,opinion,"What we would stop doing if we started this account today",13010,13700,19500,780,96,170,360,210,41,
2026-04-23T16:00:00,reel,product,"A 20-second walkthrough of the planning board",13080,11200,16800,600,46,82,190,260,95,14900
